16 20 3 3

(0, 16) (2, 10) (13, 0)

(4, 13) (9, 10) (7, 8)

(12, 4) Door: 0 (10, 1) Door: 2 (8, 9) Door: 1

robot 1 move E
robot 0 move E
robot 2 move W
robot 1 move E
robot 0 move E
robot 2 move W
robot 1 move E
robot 0 move E
robot 2 move N
robot 1 move E
robot 0 move E
robot 2 push E
robot 1 move E
robot 0 move E
robot 2 push E
robot 1 move E
robot 0 move E
robot 2 move S
robot 1 move E
robot 0 move E
robot 2 move E
robot 1 move E
robot 0 move E
robot 2 push N
robot 1 move E
robot 0 move N
robot 2 push N
robot 1 move E
robot 0 move N
robot 2 push N
robot 1 move N
robot 0 move N
robot 2 push N
robot 1 push W
robot 0 move N
robot 2 push N
robot 1 push W
robot 0 move N
robot 1 push W
robot 0 move N
robot 1 push W
robot 0 move N
robot 1 push W
robot 0 move N
robot 1 push W
robot 0 push E
robot 1 push W
robot 0 push E
robot 1 push W
robot 0 push E
robot 1 push W
robot 0 move S
robot 1 push W
robot 0 move E
robot 1 move N
robot 0 push N
robot 1 move W
robot 0 push N
robot 1 push S
robot 0 push N
robot 1 push S
robot 0 push N
robot 1 push S
robot 1 push S
